date,indicator,value,entity
2020-03-20,Daily hospital occupancy,1165.0,England
2020-03-21,Daily hospital occupancy,1761.0,England
2020-03-22,Daily hospital occupancy,2062.0,England
2020-03-23,Daily hospital occupancy,2433.0,England
2020-03-24,Daily hospital occupancy,2865.0,England
2020-03-25,Daily hospital occupancy,3405.0,England
2020-03-26,Daily hospital occupancy,3805.0,England
2020-03-27,Daily hospital occupancy,4926.0,England
2020-03-28,Daily hospital occupancy,4680.0,England
2020-03-29,Daily hospital occupancy,6498.0,England
2020-03-30,Daily hospital occupancy,7375.0,England
2020-03-31,Daily hospital occupancy,9041.0,England
2020-04-01,Daily hospital occupancy,9802.0,England
2020-04-02,Daily hospital occupancy,9506.0,England
2020-04-03,Daily hospital occupancy,10833.0,England
2020-04-04,Daily hospital occupancy,12566.0,England
2020-04-05,Daily hospital occupancy,13220.0,England
2020-04-06,Daily hospital occupancy,13920.0,England
2020-04-07,Daily hospital occupancy,15172.0,England
2020-04-08,Daily hospital occupancy,14024.0,England
2020-04-09,Daily hospital occupancy,15035.0,England
2020-04-10,Daily hospital occupancy,13912.0,England
2020-04-11,Daily hospital occupancy,14763.0,England
2020-04-12,Daily hospital occupancy,15830.0,England
2020-04-13,Daily hospital occupancy,15580.0,England
2020-04-14,Daily hospital occupancy,15383.0,England
2020-04-15,Daily hospital occupancy,14928.0,England
2020-04-16,Daily hospital occupancy,14363.0,England
2020-04-17,Daily hospital occupancy,14023.0,England
2020-04-18,Daily hospital occupancy,13801.0,England
2020-04-19,Daily hospital occupancy,13908.0,England
2020-04-20,Daily hospital occupancy,13117.0,England
2020-04-21,Daily hospital occupancy,13143.0,England
2020-04-22,Daily hospital occupancy,13631.0,England
2020-04-23,Daily hospital occupancy,12854.0,England
2020-04-24,Daily hospital occupancy,12550.0,England
2020-04-25,Daily hospital occupancy,12005.0,England
2020-04-26,Daily hospital occupancy,11743.0,England
2020-04-27,Daily hospital occupancy,12682.0,England
2020-04-28,Daily hospital occupancy,11637.0,England
2020-04-29,Daily hospital occupancy,10750.0,England
2020-04-30,Daily hospital occupancy,11062.0,England
2020-05-01,Daily hospital occupancy,10230.0,England
2020-05-02,Daily hospital occupancy,10161.0,England
2020-05-03,Daily hospital occupancy,9820.0,England
2020-05-04,Daily hospital occupancy,10034.0,England
2020-05-05,Daily hospital occupancy,10250.0,England
2020-05-06,Daily hospital occupancy,8982.0,England
2020-05-07,Daily hospital occupancy,9239.0,England
2020-05-08,Daily hospital occupancy,8518.0,England
2020-05-09,Daily hospital occupancy,8473.0,England
2020-05-10,Daily hospital occupancy,8174.0,England
2020-05-11,Daily hospital occupancy,8245.0,England
2020-05-12,Daily hospital occupancy,8306.0,England
2020-05-13,Daily hospital occupancy,8203.0,England
2020-05-14,Daily hospital occupancy,8010.0,England
2020-05-15,Daily hospital occupancy,7584.0,England
2020-05-16,Daily hospital occupancy,7045.0,England
2020-05-17,Daily hospital occupancy,7502.0,England
2020-05-18,Daily hospital occupancy,7298.0,England
2020-05-19,Daily hospital occupancy,7173.0,England
2020-05-20,Daily hospital occupancy,7121.0,England
2020-05-21,Daily hospital occupancy,6761.0,England
2020-05-22,Daily hospital occupancy,6315.0,England
2020-05-23,Daily hospital occupancy,6204.0,England
2020-05-24,Daily hospital occupancy,6470.0,England
2020-05-25,Daily hospital occupancy,6305.0,England
2020-05-26,Daily hospital occupancy,6123.0,England
2020-05-27,Daily hospital occupancy,5825.0,England
2020-05-28,Daily hospital occupancy,5754.0,England
2020-05-29,Daily hospital occupancy,5379.0,England
2020-05-30,Daily hospital occupancy,4935.0,England
2020-05-31,Daily hospital occupancy,4626.0,England
2020-06-01,Daily hospital occupancy,4520.0,England
2020-06-02,Daily hospital occupancy,4404.0,England
2020-06-03,Daily hospital occupancy,4322.0,England
2020-06-04,Daily hospital occupancy,4283.0,England
2020-06-05,Daily hospital occupancy,4169.0,England
2020-06-06,Daily hospital occupancy,3866.0,England
2020-06-07,Daily hospital occupancy,3780.0,England
2020-06-08,Daily hospital occupancy,3817.0,England
2020-06-09,Daily hospital occupancy,3580.0,England
2020-06-10,Daily hospital occupancy,3615.0,England
2020-06-11,Daily hospital occupancy,3426.0,England
2020-06-12,Daily hospital occupancy,3403.0,England
2020-06-13,Daily hospital occupancy,3302.0,England
2020-06-14,Daily hospital occupancy,3268.0,England
2020-06-15,Daily hospital occupancy,2933.0,England
2020-06-16,Daily hospital occupancy,2993.0,England
2020-06-17,Daily hospital occupancy,3285.0,England
2020-06-18,Daily hospital occupancy,2950.0,England
2020-06-19,Daily hospital occupancy,2711.0,England
2020-06-20,Daily hospital occupancy,2854.0,England
2020-06-21,Daily hospital occupancy,2865.0,England
2020-06-22,Daily hospital occupancy,2816.0,England
2020-06-23,Daily hospital occupancy,2667.0,England
2020-06-24,Daily hospital occupancy,2544.0,England
2020-06-25,Daily hospital occupancy,2593.0,England
2020-06-26,Daily hospital occupancy,2304.0,England
2020-06-27,Daily hospital occupancy,2339.0,England
2020-06-28,Daily hospital occupancy,2333.0,England
2020-06-29,Daily hospital occupancy,2410.0,England
2020-06-30,Daily hospital occupancy,2204.0,England
2020-07-01,Daily hospital occupancy,2017.0,England
2020-07-02,Daily hospital occupancy,1906.0,England
2020-07-03,Daily hospital occupancy,1810.0,England
2020-07-04,Daily hospital occupancy,1661.0,England
2020-07-05,Daily hospital occupancy,1743.0,England
2020-07-06,Daily hospital occupancy,1743.0,England
2020-07-07,Daily hospital occupancy,1635.0,England
2020-07-08,Daily hospital occupancy,1513.0,England
2020-07-09,Daily hospital occupancy,1518.0,England
2020-07-10,Daily hospital occupancy,1483.0,England
2020-07-11,Daily hospital occupancy,1282.0,England
2020-07-12,Daily hospital occupancy,1195.0,England
2020-07-13,Daily hospital occupancy,1370.0,England
2020-07-14,Daily hospital occupancy,1207.0,England
2020-07-15,Daily hospital occupancy,1280.0,England
2020-07-16,Daily hospital occupancy,1064.0,England
2020-07-17,Daily hospital occupancy,1079.0,England
2020-07-18,Daily hospital occupancy,1063.0,England
2020-07-19,Daily hospital occupancy,1113.0,England
2020-07-20,Daily hospital occupancy,1067.0,England
2020-07-21,Daily hospital occupancy,1028.0,England
2020-07-22,Daily hospital occupancy,1123.0,England
2020-07-23,Daily hospital occupancy,910.0,England
2020-07-24,Daily hospital occupancy,874.0,England
2020-07-25,Daily hospital occupancy,816.0,England
2020-07-26,Daily hospital occupancy,789.0,England
2020-07-27,Daily hospital occupancy,790.0,England
2020-07-28,Daily hospital occupancy,776.0,England
2020-07-29,Daily hospital occupancy,766.0,England
2020-07-30,Daily hospital occupancy,691.0,England
2020-07-31,Daily hospital occupancy,723.0,England
2020-08-01,Daily hospital occupancy,710.0,England
2020-08-02,Daily hospital occupancy,746.0,England
2020-08-03,Daily hospital occupancy,653.0,England
2020-08-04,Daily hospital occupancy,680.0,England
2020-08-05,Daily hospital occupancy,636.0,England
2020-08-06,Daily hospital occupancy,655.0,England
2020-08-07,Daily hospital occupancy,653.0,England
2020-08-08,Daily hospital occupancy,543.0,England
2020-08-09,Daily hospital occupancy,509.0,England
2020-08-10,Daily hospital occupancy,596.0,England
2020-08-11,Daily hospital occupancy,529.0,England
2020-08-12,Daily hospital occupancy,550.0,England
2020-08-13,Daily hospital occupancy,567.0,England
2020-08-14,Daily hospital occupancy,546.0,England
2020-08-15,Daily hospital occupancy,519.0,England
2020-08-16,Daily hospital occupancy,527.0,England
2020-08-17,Daily hospital occupancy,460.0,England
2020-08-18,Daily hospital occupancy,490.0,England
2020-08-19,Daily hospital occupancy,469.0,England
2020-08-20,Daily hospital occupancy,446.0,England
2020-08-21,Daily hospital occupancy,415.0,England
2020-08-22,Daily hospital occupancy,526.0,England
2020-08-23,Daily hospital occupancy,410.0,England
2020-08-24,Daily hospital occupancy,422.0,England
2020-08-25,Daily hospital occupancy,419.0,England
2020-08-26,Daily hospital occupancy,405.0,England
2020-08-27,Daily hospital occupancy,405.0,England
2020-08-28,Daily hospital occupancy,401.0,England
2020-08-29,Daily hospital occupancy,382.0,England
2020-08-30,Daily hospital occupancy,368.0,England
2020-08-31,Daily hospital occupancy,366.0,England
2020-09-01,Daily hospital occupancy,416.0,England
2020-09-02,Daily hospital occupancy,306.0,England
2020-09-03,Daily hospital occupancy,383.0,England
2020-09-04,Daily hospital occupancy,397.0,England
2020-09-05,Daily hospital occupancy,420.0,England
2020-09-06,Daily hospital occupancy,405.0,England
2020-09-07,Daily hospital occupancy,489.0,England
2020-09-08,Daily hospital occupancy,472.0,England
2020-09-09,Daily hospital occupancy,462.0,England
2020-09-10,Daily hospital occupancy,417.0,England
2020-09-11,Daily hospital occupancy,499.0,England
2020-09-12,Daily hospital occupancy,457.0,England
2020-09-13,Daily hospital occupancy,579.0,England
2020-09-14,Daily hospital occupancy,707.0,England
2020-09-15,Daily hospital occupancy,702.0,England
2020-09-16,Daily hospital occupancy,750.0,England
2020-09-17,Daily hospital occupancy,733.0,England
2020-09-18,Daily hospital occupancy,814.0,England
2020-09-19,Daily hospital occupancy,846.0,England
2020-09-20,Daily hospital occupancy,1015.0,England
2020-09-21,Daily hospital occupancy,1022.0,England
2020-09-22,Daily hospital occupancy,1070.0,England
2020-09-23,Daily hospital occupancy,1226.0,England
2020-09-24,Daily hospital occupancy,1309.0,England
2020-09-25,Daily hospital occupancy,1360.0,England
2020-09-26,Daily hospital occupancy,1456.0,England
2020-09-27,Daily hospital occupancy,1441.0,England
2020-09-28,Daily hospital occupancy,1630.0,England
2020-09-29,Daily hospital occupancy,1629.0,England
2020-09-30,Daily hospital occupancy,1619.0,England
2020-10-01,Daily hospital occupancy,1655.0,England
2020-10-02,Daily hospital occupancy,1747.0,England
2020-10-03,Daily hospital occupancy,1960.0,England
2020-10-04,Daily hospital occupancy,2055.0,England
2020-10-05,Daily hospital occupancy,2443.0,England
2020-10-06,Daily hospital occupancy,2313.0,England
2020-10-07,Daily hospital occupancy,2517.0,England
2020-10-08,Daily hospital occupancy,2602.0,England
2020-10-09,Daily hospital occupancy,2816.0,England
2020-10-10,Daily hospital occupancy,3002.0,England
2020-10-11,Daily hospital occupancy,3107.0,England
2020-10-12,Daily hospital occupancy,3268.0,England
2020-10-13,Daily hospital occupancy,3249.0,England
2020-10-14,Daily hospital occupancy,3557.0,England
2020-10-15,Daily hospital occupancy,3702.0,England
2020-10-16,Daily hospital occupancy,3761.0,England
2020-10-17,Daily hospital occupancy,4185.0,England
2020-10-18,Daily hospital occupancy,4307.0,England
2020-10-19,Daily hospital occupancy,4616.0,England
2020-10-20,Daily hospital occupancy,4937.0,England
2020-10-21,Daily hospital occupancy,5189.0,England
2020-10-22,Daily hospital occupancy,5581.0,England
2020-10-23,Daily hospital occupancy,5628.0,England
2020-10-24,Daily hospital occupancy,5718.0,England
2020-10-25,Daily hospital occupancy,6585.0,England
2020-10-26,Daily hospital occupancy,6637.0,England
2020-10-27,Daily hospital occupancy,7095.0,England
2020-10-28,Daily hospital occupancy,7284.0,England
2020-10-29,Daily hospital occupancy,7504.0,England
2020-10-30,Daily hospital occupancy,7980.0,England
2020-10-31,Daily hospital occupancy,7814.0,England
2020-11-01,Daily hospital occupancy,7622.0,England
2020-11-02,Daily hospital occupancy,8583.0,England
2020-11-03,Daily hospital occupancy,9148.0,England
2020-11-04,Daily hospital occupancy,9172.0,England
2020-11-05,Daily hospital occupancy,9095.0,England
2020-11-06,Daily hospital occupancy,9017.0,England
2020-11-07,Daily hospital occupancy,9295.0,England
2020-11-08,Daily hospital occupancy,9580.0,England
2020-11-09,Daily hospital occupancy,10111.0,England
2020-11-10,Daily hospital occupancy,9524.0,England
2020-11-11,Daily hospital occupancy,10018.0,England
2020-11-12,Daily hospital occupancy,10629.0,England
2020-11-13,Daily hospital occupancy,11475.0,England
2020-11-14,Daily hospital occupancy,11159.0,England
2020-11-15,Daily hospital occupancy,11007.0,England
2020-11-16,Daily hospital occupancy,11614.0,England
2020-11-17,Daily hospital occupancy,12425.0,England
2020-11-18,Daily hospital occupancy,11608.0,England
2020-11-19,Daily hospital occupancy,12092.0,England
2020-11-20,Daily hospital occupancy,12304.0,England
2020-11-21,Daily hospital occupancy,11619.0,England
2020-11-22,Daily hospital occupancy,11979.0,England
2020-11-23,Daily hospital occupancy,11658.0,England
2020-11-24,Daily hospital occupancy,12396.0,England
2020-11-25,Daily hospital occupancy,11895.0,England
2020-11-26,Daily hospital occupancy,10648.0,England
2020-11-27,Daily hospital occupancy,11667.0,England
2020-11-28,Daily hospital occupancy,10492.0,England
2020-11-29,Daily hospital occupancy,10861.0,England
2020-11-30,Daily hospital occupancy,10674.0,England
2020-12-01,Daily hospital occupancy,11015.0,England
2020-12-02,Daily hospital occupancy,10525.0,England
2020-12-03,Daily hospital occupancy,10343.0,England
2020-12-04,Daily hospital occupancy,10504.0,England
2020-12-05,Daily hospital occupancy,10599.0,England
2020-12-06,Daily hospital occupancy,10834.0,England
2020-12-07,Daily hospital occupancy,11559.0,England
2020-12-08,Daily hospital occupancy,11004.0,England
2020-12-09,Daily hospital occupancy,11010.0,England
2020-12-10,Daily hospital occupancy,10677.0,England
2020-12-11,Daily hospital occupancy,11241.0,England
2020-12-12,Daily hospital occupancy,11098.0,England
2020-12-13,Daily hospital occupancy,11274.0,England
2020-12-14,Daily hospital occupancy,12182.0,England
2020-12-15,Daily hospital occupancy,12111.0,England
2020-12-16,Daily hospital occupancy,12624.0,England
2020-12-17,Daily hospital occupancy,13131.0,England
2020-12-18,Daily hospital occupancy,12974.0,England
2020-12-19,Daily hospital occupancy,13037.0,England
2020-12-20,Daily hospital occupancy,13577.0,England
2020-12-21,Daily hospital occupancy,13251.0,England
2020-12-22,Daily hospital occupancy,14811.0,England
2020-12-23,Daily hospital occupancy,14661.0,England
2020-12-24,Daily hospital occupancy,14207.0,England
2020-12-25,Daily hospital occupancy,14099.0,England
2020-12-26,Daily hospital occupancy,13991.0,England
2020-12-27,Daily hospital occupancy,14925.0,England
2020-12-28,Daily hospital occupancy,16305.0,England
2020-12-29,Daily hospital occupancy,17553.0,England
2020-12-30,Daily hospital occupancy,18281.0,England
2020-12-31,Daily hospital occupancy,17545.0,England
2021-01-01,Daily hospital occupancy,19051.0,England
2021-01-02,Daily hospital occupancy,19108.0,England
2021-01-03,Daily hospital occupancy,20890.0,England
2021-01-04,Daily hospital occupancy,21344.0,England
2021-01-05,Daily hospital occupancy,20405.0,England
2021-01-06,Daily hospital occupancy,22607.0,England
2021-01-07,Daily hospital occupancy,23703.0,England
2021-01-08,Daily hospital occupancy,23657.0,England
2021-01-09,Daily hospital occupancy,23653.0,England
2021-01-10,Daily hospital occupancy,25657.0,England
2021-01-11,Daily hospital occupancy,25016.0,England
2021-01-12,Daily hospital occupancy,26348.0,England
2021-01-13,Daily hospital occupancy,27260.0,England
2021-01-14,Daily hospital occupancy,27580.0,England
2021-01-15,Daily hospital occupancy,27817.0,England
2021-01-16,Daily hospital occupancy,28396.0,England
2021-01-17,Daily hospital occupancy,27883.0,England
2021-01-18,Daily hospital occupancy,29798.0,England
2021-01-19,Daily hospital occupancy,27743.0,England
2021-01-20,Daily hospital occupancy,28010.0,England
2021-01-21,Daily hospital occupancy,26555.0,England
2021-01-22,Daily hospital occupancy,29559.0,England
2021-01-23,Daily hospital occupancy,26797.0,England
2021-01-24,Daily hospital occupancy,28335.0,England
2021-01-25,Daily hospital occupancy,26475.0,England
2021-01-26,Daily hospital occupancy,26634.0,England
2021-01-27,Daily hospital occupancy,24660.0,England
2021-01-28,Daily hospital occupancy,25254.0,England
2021-01-29,Daily hospital occupancy,24856.0,England
2021-01-30,Daily hospital occupancy,23739.0,England
2021-01-31,Daily hospital occupancy,23208.0,England
2021-02-01,Daily hospital occupancy,22763.0,England
2021-02-02,Daily hospital occupancy,22027.0,England
2021-02-03,Daily hospital occupancy,21256.0,England
2021-02-04,Daily hospital occupancy,20883.0,England
2021-02-05,Daily hospital occupancy,20154.0,England
2021-02-06,Daily hospital occupancy,19317.0,England
2021-02-07,Daily hospital occupancy,20025.0,England
2021-02-08,Daily hospital occupancy,19038.0,England
2021-02-09,Daily hospital occupancy,17573.0,England
2021-02-10,Daily hospital occupancy,16964.0,England
2021-02-11,Daily hospital occupancy,16636.0,England
2021-02-12,Daily hospital occupancy,15359.0,England
2021-02-13,Daily hospital occupancy,14163.0,England
2021-02-14,Daily hospital occupancy,13929.0,England
2021-02-15,Daily hospital occupancy,14325.0,England
2021-02-16,Daily hospital occupancy,13177.0,England
2021-02-17,Daily hospital occupancy,12739.0,England
2021-02-18,Daily hospital occupancy,12608.0,England
2021-02-19,Daily hospital occupancy,12708.0,England
2021-02-20,Daily hospital occupancy,11312.0,England
2021-02-21,Daily hospital occupancy,10597.0,England
2021-02-22,Daily hospital occupancy,10969.0,England
2021-02-23,Daily hospital occupancy,11255.0,England
2021-02-24,Daily hospital occupancy,10407.0,England
2021-02-25,Daily hospital occupancy,9850.0,England
2021-02-26,Daily hospital occupancy,9652.0,England
2021-02-27,Daily hospital occupancy,8974.0,England
2021-02-28,Daily hospital occupancy,8451.0,England
2021-03-01,Daily hospital occupancy,8485.0,England
2021-03-02,Daily hospital occupancy,8216.0,England
2021-03-03,Daily hospital occupancy,7500.0,England
2021-03-04,Daily hospital occupancy,7512.0,England
2021-03-05,Daily hospital occupancy,7236.0,England
2021-03-06,Daily hospital occupancy,7088.0,England
2021-03-07,Daily hospital occupancy,6270.0,England
2021-03-08,Daily hospital occupancy,6543.0,England
2021-03-09,Daily hospital occupancy,6227.0,England
2021-03-10,Daily hospital occupancy,5850.0,England
2021-03-11,Daily hospital occupancy,5306.0,England
2021-03-12,Daily hospital occupancy,5273.0,England
2021-03-13,Daily hospital occupancy,5153.0,England
2021-03-14,Daily hospital occupancy,4992.0,England
2021-03-15,Daily hospital occupancy,4898.0,England
2021-03-16,Daily hospital occupancy,4833.0,England
2021-03-17,Daily hospital occupancy,4485.0,England
2021-03-18,Daily hospital occupancy,4282.0,England
2021-03-19,Daily hospital occupancy,3908.0,England
2021-03-20,Daily hospital occupancy,3554.0,England
2021-03-21,Daily hospital occupancy,3564.0,England
2021-03-22,Daily hospital occupancy,3693.0,England
2021-03-23,Daily hospital occupancy,3331.0,England
2021-03-24,Daily hospital occupancy,3495.0,England
2021-03-25,Daily hospital occupancy,3147.0,England
2021-03-26,Daily hospital occupancy,3060.0,England
2021-03-27,Daily hospital occupancy,3091.0,England
2021-03-28,Daily hospital occupancy,2670.0,England
2021-03-29,Daily hospital occupancy,2876.0,England
2021-03-30,Daily hospital occupancy,2702.0,England
2021-03-31,Daily hospital occupancy,2530.0,England
2021-04-01,Daily hospital occupancy,2401.0,England
2021-04-02,Daily hospital occupancy,2092.0,England
2021-04-03,Daily hospital occupancy,2040.0,England
2021-04-04,Daily hospital occupancy,2116.0,England
2021-04-05,Daily hospital occupancy,2122.0,England
2021-04-06,Daily hospital occupancy,1835.0,England
2021-04-07,Daily hospital occupancy,1894.0,England
2021-04-08,Daily hospital occupancy,1896.0,England
2021-04-09,Daily hospital occupancy,1676.0,England
2021-04-10,Daily hospital occupancy,1671.0,England
2021-04-11,Daily hospital occupancy,1582.0,England
2021-04-12,Daily hospital occupancy,1694.0,England
2021-04-13,Daily hospital occupancy,1507.0,England
2021-04-14,Daily hospital occupancy,1436.0,England
2021-04-15,Daily hospital occupancy,1421.0,England
2021-04-16,Daily hospital occupancy,1402.0,England
2021-04-17,Daily hospital occupancy,1366.0,England
2021-04-18,Daily hospital occupancy,1336.0,England
2021-04-19,Daily hospital occupancy,1337.0,England
2021-04-20,Daily hospital occupancy,1287.0,England
2021-04-21,Daily hospital occupancy,1329.0,England
2021-04-22,Daily hospital occupancy,1213.0,England
2021-04-23,Daily hospital occupancy,1198.0,England
2021-04-24,Daily hospital occupancy,1126.0,England
2021-04-25,Daily hospital occupancy,1121.0,England
2021-04-26,Daily hospital occupancy,1078.0,England
2021-04-27,Daily hospital occupancy,1101.0,England
2021-04-28,Daily hospital occupancy,962.0,England
2021-04-29,Daily hospital occupancy,955.0,England
2021-04-30,Daily hospital occupancy,964.0,England
2021-05-01,Daily hospital occupancy,777.0,England
2021-05-02,Daily hospital occupancy,750.0,England
2021-05-03,Daily hospital occupancy,836.0,England
2021-05-04,Daily hospital occupancy,827.0,England
2021-05-05,Daily hospital occupancy,775.0,England
2021-05-06,Daily hospital occupancy,776.0,England
2021-05-07,Daily hospital occupancy,793.0,England
2021-05-08,Daily hospital occupancy,756.0,England
2021-05-09,Daily hospital occupancy,751.0,England
2021-05-10,Daily hospital occupancy,701.0,England
2021-05-11,Daily hospital occupancy,700.0,England
2021-05-12,Daily hospital occupancy,664.0,England
2021-05-13,Daily hospital occupancy,632.0,England
2021-05-14,Daily hospital occupancy,620.0,England
2021-05-15,Daily hospital occupancy,554.0,England
2021-05-16,Daily hospital occupancy,562.0,England
2021-05-17,Daily hospital occupancy,640.0,England
2021-05-18,Daily hospital occupancy,587.0,England
2021-05-19,Daily hospital occupancy,534.0,England
2021-05-20,Daily hospital occupancy,545.0,England
2021-05-21,Daily hospital occupancy,545.0,England
2021-05-22,Daily hospital occupancy,524.0,England
2021-05-23,Daily hospital occupancy,540.0,England
2021-05-24,Daily hospital occupancy,584.0,England
2021-05-25,Daily hospital occupancy,599.0,England
2021-05-26,Daily hospital occupancy,581.0,England
2021-05-27,Daily hospital occupancy,565.0,England
2021-05-28,Daily hospital occupancy,544.0,England
2021-05-29,Daily hospital occupancy,557.0,England
2021-05-30,Daily hospital occupancy,543.0,England
2021-05-31,Daily hospital occupancy,607.0,England
2021-06-01,Daily hospital occupancy,661.0,England
2021-06-02,Daily hospital occupancy,669.0,England
2021-06-03,Daily hospital occupancy,668.0,England
2021-06-04,Daily hospital occupancy,681.0,England
2021-06-05,Daily hospital occupancy,697.0,England
2021-06-06,Daily hospital occupancy,676.0,England
2021-06-07,Daily hospital occupancy,692.0,England
2021-06-08,Daily hospital occupancy,700.0,England
2021-06-09,Daily hospital occupancy,692.0,England
2021-06-10,Daily hospital occupancy,728.0,England
2021-06-11,Daily hospital occupancy,757.0,England
2021-06-12,Daily hospital occupancy,694.0,England
2021-06-13,Daily hospital occupancy,792.0,England
2021-06-14,Daily hospital occupancy,779.0,England
2021-06-15,Daily hospital occupancy,829.0,England
2021-06-16,Daily hospital occupancy,832.0,England
2021-06-17,Daily hospital occupancy,994.0,England
2021-06-18,Daily hospital occupancy,1016.0,England
2021-06-19,Daily hospital occupancy,982.0,England
2021-06-20,Daily hospital occupancy,1008.0,England
2021-06-21,Daily hospital occupancy,1114.0,England
2021-06-22,Daily hospital occupancy,1052.0,England
2021-06-23,Daily hospital occupancy,955.0,England
2021-06-24,Daily hospital occupancy,1015.0,England
2021-06-25,Daily hospital occupancy,1016.0,England
2021-06-26,Daily hospital occupancy,1062.0,England
2021-06-27,Daily hospital occupancy,1080.0,England
2021-06-28,Daily hospital occupancy,1216.0,England
2021-06-29,Daily hospital occupancy,1147.0,England
2021-06-30,Daily hospital occupancy,1181.0,England
2021-07-01,Daily hospital occupancy,1345.0,England
2021-07-02,Daily hospital occupancy,1322.0,England
2021-07-03,Daily hospital occupancy,1274.0,England
2021-07-04,Daily hospital occupancy,1484.0,England
2021-07-05,Daily hospital occupancy,1435.0,England
2021-07-06,Daily hospital occupancy,1605.0,England
2021-07-07,Daily hospital occupancy,1761.0,England
2021-07-08,Daily hospital occupancy,1794.0,England
2021-07-09,Daily hospital occupancy,1918.0,England
2021-07-10,Daily hospital occupancy,1885.0,England
2021-07-11,Daily hospital occupancy,2008.0,England
2021-07-12,Daily hospital occupancy,2201.0,England
2021-07-13,Daily hospital occupancy,2424.0,England
2021-07-14,Daily hospital occupancy,2438.0,England
2021-07-15,Daily hospital occupancy,2557.0,England
2021-07-16,Daily hospital occupancy,2776.0,England
2021-07-17,Daily hospital occupancy,2847.0,England
2021-07-18,Daily hospital occupancy,2821.0,England
2021-07-19,Daily hospital occupancy,3179.0,England
2021-07-20,Daily hospital occupancy,2989.0,England
2021-07-21,Daily hospital occupancy,3236.0,England
2021-07-22,Daily hospital occupancy,3533.0,England
2021-07-23,Daily hospital occupancy,3671.0,England
2021-07-24,Daily hospital occupancy,3779.0,England
2021-07-25,Daily hospital occupancy,3708.0,England
2021-07-26,Daily hospital occupancy,4327.0,England
2021-07-27,Daily hospital occupancy,4182.0,England
2021-07-28,Daily hospital occupancy,4124.0,England
2021-07-29,Daily hospital occupancy,3872.0,England
2021-07-30,Daily hospital occupancy,4323.0,England
2021-07-31,Daily hospital occupancy,4308.0,England
2021-08-01,Daily hospital occupancy,4003.0,England
2021-08-02,Daily hospital occupancy,4141.0,England
2021-08-03,Daily hospital occupancy,4046.0,England
2021-08-04,Daily hospital occupancy,3990.0,England
2021-08-05,Daily hospital occupancy,3948.0,England
2021-08-06,Daily hospital occupancy,4028.0,England
2021-08-07,Daily hospital occupancy,4108.0,England
2021-08-08,Daily hospital occupancy,3995.0,England
2021-08-09,Daily hospital occupancy,3917.0,England
2021-08-10,Daily hospital occupancy,4089.0,England
2021-08-11,Daily hospital occupancy,4191.0,England
2021-08-12,Daily hospital occupancy,4263.0,England
2021-08-13,Daily hospital occupancy,3962.0,England
2021-08-14,Daily hospital occupancy,3912.0,England
2021-08-15,Daily hospital occupancy,4006.0,England
2021-08-16,Daily hospital occupancy,4374.0,England
2021-08-17,Daily hospital occupancy,4621.0,England
2021-08-18,Daily hospital occupancy,4301.0,England
2021-08-19,Daily hospital occupancy,4607.0,England
2021-08-20,Daily hospital occupancy,4234.0,England
2021-08-21,Daily hospital occupancy,4559.0,England
2021-08-22,Daily hospital occupancy,4585.0,England
2021-08-23,Daily hospital occupancy,4661.0,England
2021-08-24,Daily hospital occupancy,4626.0,England
2021-08-25,Daily hospital occupancy,4658.0,England
2021-08-26,Daily hospital occupancy,4418.0,England
2021-08-27,Daily hospital occupancy,4717.0,England
2021-08-28,Daily hospital occupancy,4488.0,England
2021-08-29,Daily hospital occupancy,4546.0,England
2021-08-30,Daily hospital occupancy,4699.0,England
2021-08-31,Daily hospital occupancy,5201.0,England
2021-09-01,Daily hospital occupancy,4873.0,England
2021-09-02,Daily hospital occupancy,4975.0,England
2021-09-03,Daily hospital occupancy,4935.0,England
2021-09-04,Daily hospital occupancy,4786.0,England
2021-09-05,Daily hospital occupancy,4929.0,England
2021-09-06,Daily hospital occupancy,4982.0,England
2021-09-07,Daily hospital occupancy,4991.0,England
2021-09-08,Daily hospital occupancy,5187.0,England
2021-09-09,Daily hospital occupancy,5109.0,England
2021-09-10,Daily hospital occupancy,5137.0,England
2021-09-11,Daily hospital occupancy,5084.0,England
2021-09-12,Daily hospital occupancy,5101.0,England
2021-09-13,Daily hospital occupancy,5091.0,England
2021-09-14,Daily hospital occupancy,5139.0,England
2021-09-15,Daily hospital occupancy,5254.0,England
2021-09-16,Daily hospital occupancy,5048.0,England
2021-09-17,Daily hospital occupancy,4555.0,England
2021-09-18,Daily hospital occupancy,4733.0,England
2021-09-19,Daily hospital occupancy,4389.0,England
2021-09-20,Daily hospital occupancy,4227.0,England
2021-09-21,Daily hospital occupancy,4511.0,England
2021-09-22,Daily hospital occupancy,4336.0,England
2021-09-23,Daily hospital occupancy,4261.0,England
2021-09-24,Daily hospital occupancy,3894.0,England
2021-09-25,Daily hospital occupancy,4309.0,England
2021-09-26,Daily hospital occupancy,3988.0,England
2021-09-27,Daily hospital occupancy,4190.0,England
2021-09-28,Daily hospital occupancy,4127.0,England
2021-09-29,Daily hospital occupancy,3754.0,England
2021-09-30,Daily hospital occupancy,3869.0,England
2021-10-01,Daily hospital occupancy,4019.0,England
2021-10-02,Daily hospital occupancy,3723.0,England
2021-10-03,Daily hospital occupancy,3873.0,England
2021-10-04,Daily hospital occupancy,4041.0,England
