location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Peru,2021-02-13,0,17.0,0.0,,
Peru,2021-02-13,18,24.0,0.0429,,
Peru,2021-02-13,25,49.0,0.6269,,
Peru,2021-02-13,50,59.0,0.5704,,
Peru,2021-02-13,60,69.0,0.3279,,
Peru,2021-02-13,70,79.0,0.0059,,
Peru,2021-02-13,80,,0.001,,
Peru,2021-02-20,0,17.0,0.0001,,
Peru,2021-02-20,18,24.0,0.1561,,
Peru,2021-02-20,25,49.0,1.129,,
Peru,2021-02-20,50,59.0,1.0377,,
Peru,2021-02-20,60,69.0,0.7783,,
Peru,2021-02-20,70,79.0,0.018,,
Peru,2021-02-20,80,,0.0037,,
Peru,2021-02-27,0,17.0,0.0001,,
Peru,2021-02-27,18,24.0,0.3137,,
Peru,2021-02-27,25,49.0,1.7748,,
Peru,2021-02-27,50,59.0,1.6734,,
Peru,2021-02-27,60,69.0,1.5031,,
Peru,2021-02-27,70,79.0,0.0571,,
Peru,2021-02-27,80,,0.0111,,
Peru,2021-03-06,0,17.0,0.0003,0.0,
Peru,2021-03-06,18,24.0,0.3675,0.0355,
Peru,2021-03-06,25,49.0,1.9587,0.5453,
Peru,2021-03-06,50,59.0,1.8283,0.5194,
Peru,2021-03-06,60,69.0,1.7264,0.3052,
Peru,2021-03-06,70,79.0,0.0798,0.0058,
Peru,2021-03-06,80,,0.0162,0.0001,
Peru,2021-03-13,0,17.0,0.0005,0.0001,
Peru,2021-03-13,18,24.0,0.6361,0.1227,
Peru,2021-03-13,25,49.0,2.2015,0.9893,
Peru,2021-03-13,50,59.0,2.2566,0.9401,
Peru,2021-03-13,60,69.0,1.9232,0.7091,
Peru,2021-03-13,70,79.0,0.2971,0.0184,
Peru,2021-03-13,80,,1.9832,0.0054,
Peru,2021-03-20,0,17.0,0.0014,0.0001,
Peru,2021-03-20,18,24.0,1.0826,0.2722,
Peru,2021-03-20,25,49.0,2.6016,1.6197,
Peru,2021-03-20,50,59.0,2.5173,1.5746,
Peru,2021-03-20,60,69.0,2.2043,1.4265,
Peru,2021-03-20,70,79.0,1.1353,0.0568,
Peru,2021-03-20,80,,8.2838,0.0117,
Peru,2021-03-27,0,17.0,0.0016,0.0002,
Peru,2021-03-27,18,24.0,1.4362,0.3279,
Peru,2021-03-27,25,49.0,2.7739,1.8294,
Peru,2021-03-27,50,59.0,2.6483,1.745,
Peru,2021-03-27,60,69.0,2.4617,1.6577,
Peru,2021-03-27,70,79.0,1.8765,0.0798,
Peru,2021-03-27,80,,12.2644,0.016,
Peru,2021-04-03,0,17.0,0.0017,0.0003,
Peru,2021-04-03,18,24.0,1.4897,0.5685,
Peru,2021-04-03,25,49.0,2.8713,2.0385,
Peru,2021-04-03,50,59.0,2.7197,2.1477,
Peru,2021-04-03,60,69.0,2.5513,1.826,
Peru,2021-04-03,70,79.0,1.9913,0.2609,
Peru,2021-04-03,80,,13.1309,1.7913,
Peru,2021-04-10,0,17.0,0.0019,0.0006,
Peru,2021-04-10,18,24.0,1.7224,0.8308,
Peru,2021-04-10,25,49.0,3.2406,2.344,
Peru,2021-04-10,50,59.0,2.97,2.373,
Peru,2021-04-10,60,69.0,2.7116,2.0888,
Peru,2021-04-10,70,79.0,2.1285,0.961,
Peru,2021-04-10,80,,13.3973,6.8375,
Peru,2021-04-17,0,17.0,0.002,0.0007,
Peru,2021-04-17,18,24.0,1.8903,1.3327,
Peru,2021-04-17,25,49.0,3.2856,2.6579,
Peru,2021-04-17,50,59.0,3.003,2.5723,
Peru,2021-04-17,60,69.0,2.7354,2.3812,
Peru,2021-04-17,70,79.0,2.2068,1.7671,
Peru,2021-04-17,80,,19.734,11.5171,
Peru,2021-04-24,0,17.0,0.0023,0.0008,
Peru,2021-04-24,18,24.0,1.9782,1.4152,
Peru,2021-04-24,25,49.0,3.4795,2.7703,
Peru,2021-04-24,50,59.0,3.2067,2.6532,
Peru,2021-04-24,60,69.0,2.808,2.4816,
Peru,2021-04-24,70,79.0,3.1728,1.8759,
Peru,2021-04-24,80,,30.2922,12.5561,
Peru,2021-05-01,0,17.0,0.0024,0.001,
Peru,2021-05-01,18,24.0,2.0399,1.5883,
Peru,2021-05-01,25,49.0,3.5429,3.1035,
Peru,2021-05-01,50,59.0,3.2434,2.88,
Peru,2021-05-01,60,69.0,3.5866,2.6273,
Peru,2021-05-01,70,79.0,13.9872,1.9868,
Peru,2021-05-01,80,,47.5267,12.7884,
Peru,2021-05-08,0,17.0,0.003,0.0011,
Peru,2021-05-08,18,24.0,2.1392,1.7341,
Peru,2021-05-08,25,49.0,3.5892,3.1686,
Peru,2021-05-08,50,59.0,3.2621,2.9259,
Peru,2021-05-08,60,69.0,4.6874,2.6683,
Peru,2021-05-08,70,79.0,27.2719,2.0948,
Peru,2021-05-08,80,,60.0512,17.968,
Peru,2021-05-15,0,17.0,0.0039,0.0014,
Peru,2021-05-15,18,24.0,2.3376,1.8729,
Peru,2021-05-15,25,49.0,3.7251,3.3117,
Peru,2021-05-15,50,59.0,3.3497,3.0905,
Peru,2021-05-15,60,69.0,7.182,2.7358,
Peru,2021-05-15,70,79.0,49.5758,2.955,
Peru,2021-05-15,80,,65.0647,28.342,
Peru,2021-05-22,0,17.0,0.0046,0.0015,
Peru,2021-05-22,18,24.0,2.4763,1.9216,
Peru,2021-05-22,25,49.0,3.8414,3.3891,
Peru,2021-05-22,50,59.0,3.526,3.1576,
Peru,2021-05-22,60,69.0,16.0878,2.9749,
Peru,2021-05-22,70,79.0,65.8499,9.7985,
Peru,2021-05-22,80,,68.8928,39.0444,
Peru,2021-05-29,0,17.0,0.0059,0.0018,
Peru,2021-05-29,18,24.0,2.6327,2.0314,
Peru,2021-05-29,25,49.0,4.0194,3.4838,
Peru,2021-05-29,50,59.0,4.2863,3.1978,
Peru,2021-05-29,60,69.0,35.8145,3.4339,
Peru,2021-05-29,70,79.0,70.5256,20.6535,
Peru,2021-05-29,80,,71.0502,51.1309,
Peru,2021-06-05,0,17.0,0.007,0.0023,
Peru,2021-06-05,18,24.0,2.7294,2.0978,
Peru,2021-06-05,25,49.0,4.146,3.5313,
Peru,2021-06-05,50,59.0,5.0551,3.2315,
Peru,2021-06-05,60,69.0,46.8407,3.9901,
Peru,2021-06-05,70,79.0,72.164,34.1609,
Peru,2021-06-05,80,,72.2725,54.2634,
Peru,2021-06-12,0,17.0,0.0078,0.0031,
Peru,2021-06-12,18,24.0,2.8056,2.2032,
Peru,2021-06-12,25,49.0,4.2612,3.6269,
Peru,2021-06-12,50,59.0,6.7678,3.3637,
Peru,2021-06-12,60,69.0,64.4696,11.8427,
Peru,2021-06-12,70,79.0,74.9779,58.8565,
Peru,2021-06-12,80,,74.5185,63.2246,
Peru,2021-06-19,0,17.0,0.0088,0.0042,
Peru,2021-06-19,18,24.0,2.9561,2.41,
Peru,2021-06-19,25,49.0,4.598,3.8391,
Peru,2021-06-19,50,59.0,8.1433,4.0476,
Peru,2021-06-19,60,69.0,69.7395,31.713,
Peru,2021-06-19,70,79.0,77.3268,66.7297,
Peru,2021-06-19,80,,76.4786,67.1428,
Peru,2021-06-26,0,17.0,0.0099,0.0048,
Peru,2021-06-26,18,24.0,3.2088,2.5848,
Peru,2021-06-26,25,49.0,5.0244,4.0196,
Peru,2021-06-26,50,59.0,13.957,4.7709,
Peru,2021-06-26,60,69.0,72.229,44.0066,
Peru,2021-06-26,70,79.0,79.22,69.1308,
Peru,2021-06-26,80,,78.2961,68.9578,
Peru,2021-07-03,0,17.0,0.0112,0.0054,
Peru,2021-07-03,18,24.0,3.3649,2.6727,
Peru,2021-07-03,25,49.0,5.3452,4.1257,
Peru,2021-07-03,50,59.0,27.0552,6.099,
Peru,2021-07-03,60,69.0,74.1636,59.879,
Peru,2021-07-03,70,79.0,80.6682,71.3888,
Peru,2021-07-03,80,,79.6125,70.6855,
Peru,2021-07-10,0,17.0,0.0136,0.006,
Peru,2021-07-10,18,24.0,3.6198,2.7981,
Peru,2021-07-10,25,49.0,7.5163,4.4221,
Peru,2021-07-10,50,59.0,47.6064,7.4601,
Peru,2021-07-10,60,69.0,76.7035,65.9032,
Peru,2021-07-10,70,79.0,82.3121,73.658,
Peru,2021-07-10,80,,81.0115,72.6044,
Peru,2021-07-17,0,17.0,0.016,0.0068,
Peru,2021-07-17,18,24.0,3.8659,2.9998,
Peru,2021-07-17,25,49.0,11.2213,4.7845,
Peru,2021-07-17,50,59.0,61.0274,12.416,
Peru,2021-07-17,60,69.0,78.2814,68.9392,
Peru,2021-07-17,70,79.0,83.3329,75.8948,
Peru,2021-07-17,80,,81.8066,74.6708,
Peru,2021-07-24,0,17.0,0.0294,0.0076,
Peru,2021-07-24,18,24.0,4.487,3.1348,
Peru,2021-07-24,25,49.0,16.3841,5.0832,
Peru,2021-07-24,50,59.0,66.4294,23.8208,
Peru,2021-07-24,60,69.0,79.4361,70.8988,
Peru,2021-07-24,70,79.0,84.0569,77.4912,
Peru,2021-07-24,80,,82.325,76.0971,
Peru,2021-07-31,0,17.0,0.0379,0.0086,
Peru,2021-07-31,18,24.0,4.7526,3.2761,
Peru,2021-07-31,25,49.0,18.8957,6.5713,
Peru,2021-07-31,50,59.0,68.9017,41.119,
Peru,2021-07-31,60,69.0,80.102,73.1918,
Peru,2021-07-31,70,79.0,84.4944,79.0753,
Peru,2021-07-31,80,,82.6514,77.4814,
Peru,2021-08-07,0,17.0,0.0434,0.0106,
Peru,2021-08-07,18,24.0,5.2491,3.4834,
Peru,2021-08-07,25,49.0,23.2383,9.8456,
Peru,2021-08-07,50,59.0,71.6288,54.8841,
Peru,2021-08-07,60,69.0,80.9996,75.2383,
Peru,2021-08-07,70,79.0,85.1311,80.4353,
Peru,2021-08-07,80,,83.0799,78.5758,
Peru,2021-08-14,0,17.0,0.0533,0.0181,
Peru,2021-08-14,18,24.0,5.6153,3.894,
Peru,2021-08-14,25,49.0,26.3616,13.5897,
Peru,2021-08-14,50,59.0,73.4583,60.0924,
Peru,2021-08-14,60,69.0,81.7851,76.4678,
Peru,2021-08-14,70,79.0,85.7731,81.2616,
Peru,2021-08-14,80,,83.5158,79.1941,
Peru,2021-08-21,0,17.0,0.0746,0.0276,
Peru,2021-08-21,18,24.0,5.8924,4.1648,
Peru,2021-08-21,25,49.0,29.1638,16.9613,
Peru,2021-08-21,50,59.0,74.9425,64.202,
Peru,2021-08-21,60,69.0,82.5894,77.5196,
Peru,2021-08-21,70,79.0,86.4289,81.9713,
Peru,2021-08-21,80,,83.9564,79.7653,
Peru,2021-08-28,0,17.0,0.0956,0.0365,
Peru,2021-08-28,18,24.0,6.2499,4.5246,
Peru,2021-08-28,25,49.0,33.3948,20.3903,
Peru,2021-08-28,50,59.0,76.8122,67.7202,
Peru,2021-08-28,60,69.0,83.5364,78.5843,
Peru,2021-08-28,70,79.0,87.0857,82.7526,
Peru,2021-08-28,80,,84.4332,80.3482,
Peru,2021-09-04,0,17.0,0.1174,0.0455,
Peru,2021-09-04,18,24.0,6.7074,4.9719,
Peru,2021-09-04,25,49.0,39.7922,23.9932,
Peru,2021-09-04,50,59.0,78.7053,69.8871,
Peru,2021-09-04,60,69.0,84.4593,79.379,
Peru,2021-09-04,70,79.0,87.6858,83.3325,
Peru,2021-09-04,80,,84.8384,80.7509,
Peru,2021-09-11,0,17.0,0.2849,0.0623,
Peru,2021-09-11,18,24.0,9.6528,5.2042,
Peru,2021-09-11,25,49.0,53.4499,26.461,
Peru,2021-09-11,50,59.0,81.0587,71.6403,
Peru,2021-09-11,60,69.0,85.7974,80.2105,
Peru,2021-09-11,70,79.0,88.5244,83.9625,
Peru,2021-09-11,80,,85.4166,81.1622,
Peru,2021-09-18,0,17.0,0.7626,0.083,
Peru,2021-09-18,18,24.0,21.619,5.576,
Peru,2021-09-18,25,49.0,63.6542,30.0188,
Peru,2021-09-18,50,59.0,82.649,73.3776,
Peru,2021-09-18,60,69.0,86.7632,81.1438,
Peru,2021-09-18,70,79.0,89.1692,84.642,
Peru,2021-09-18,80,,85.8794,81.6279,
Peru,2021-09-25,0,17.0,0.8792,0.1028,
Peru,2021-09-25,18,24.0,28.964,5.9184,
Peru,2021-09-25,25,49.0,67.8269,35.1824,
Peru,2021-09-25,50,59.0,83.5406,75.2527,
Peru,2021-09-25,60,69.0,87.3224,82.1068,
Peru,2021-09-25,70,79.0,89.5554,85.3397,
Peru,2021-09-25,80,,86.1706,82.1064,
Peru,2021-10-02,0,17.0,0.9317,0.2406,
Peru,2021-10-02,18,24.0,39.1345,7.8835,
Peru,2021-10-02,25,49.0,70.8138,45.3936,
Peru,2021-10-02,50,59.0,84.3367,77.443,
Peru,2021-10-02,60,69.0,87.8509,83.3584,
Peru,2021-10-02,70,79.0,89.9178,86.1662,
Peru,2021-10-02,80,,86.4528,82.683,
Peru,2021-10-09,0,17.0,0.9757,0.6046,
Peru,2021-10-09,18,24.0,45.7375,16.408,
Peru,2021-10-09,25,49.0,73.3411,54.7012,
Peru,2021-10-09,50,59.0,85.0092,79.0219,
Peru,2021-10-09,60,69.0,88.2942,84.2775,
Peru,2021-10-09,70,79.0,90.196,86.753,
Peru,2021-10-09,80,,86.6606,83.1085,
Peru,2021-10-16,0,17.0,1.0976,0.7235,0.0
Peru,2021-10-16,18,24.0,56.0802,22.6756,0.0138
Peru,2021-10-16,25,49.0,75.8532,59.6772,0.2549
Peru,2021-10-16,50,59.0,85.7602,80.0614,0.2634
Peru,2021-10-16,60,69.0,88.7528,84.8995,0.2121
Peru,2021-10-16,70,79.0,90.5052,87.1679,0.0074
Peru,2021-10-16,80,,86.8809,83.4208,0.0025
Peru,2021-10-23,0,17.0,2.0779,0.7838,0.0001
Peru,2021-10-23,18,24.0,62.9775,30.6593,0.0641
Peru,2021-10-23,25,49.0,77.5394,62.8338,0.9662
Peru,2021-10-23,50,59.0,86.323,80.9142,0.9956
Peru,2021-10-23,60,69.0,89.11,85.4338,0.8523
Peru,2021-10-23,70,79.0,90.7332,87.5348,0.0306
Peru,2021-10-23,80,,87.0614,83.6999,0.0052
Peru,2021-10-30,0,17.0,3.9027,0.827,0.0001
Peru,2021-10-30,18,24.0,66.7443,36.5571,0.0897
Peru,2021-10-30,25,49.0,78.6902,65.3686,1.1914
Peru,2021-10-30,50,59.0,86.7386,81.6125,1.2596
Peru,2021-10-30,60,69.0,89.3872,85.8847,1.2554
Peru,2021-10-30,70,79.0,90.9098,87.8377,0.4207
Peru,2021-10-30,80,,87.1836,83.9223,1.6432
Peru,2021-11-06,0,17.0,13.1855,0.8998,0.0002
Peru,2021-11-06,18,24.0,69.6725,40.2405,0.1113
